.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi,mean,low,high
4,GLMNET,prediction,24/05/2020,6.306179789,5.693669373,6.918690206,546.9476699,295.9813592,1009.994932
4,GLMNET,prediction,31/05/2020,6.291361722,5.678851306,6.903872138,538.8880062,291.6131138,995.1243889
4,GLMNET,prediction,07/06/2020,6.342009537,5.729499121,6.954519953,566.9364547,306.8150516,1046.875388
4,GLMNET,prediction,14/06/2020,6.357978526,5.74546811,6.970488943,576.0786273,311.7700044,1063.743222
4,GLMNET,prediction,21/06/2020,6.486946982,5.874436566,7.099457398,655.5159455,354.8241207,1210.309638
4,GLMNET,prediction,28/06/2020,6.622107955,6.009597539,7.234618371,750.5276148,406.3193569,1385.611626
4,GLMNET,prediction,05/07/2020,6.633476352,6.052000041,7.214952662,759.1200274,423.9621222,1358.609306
4,GLMNET,prediction,12/07/2020,6.63168571,6.0502094,7.213162021,757.7601431,423.2018485,1356.176912
4,GLMNET,prediction,19/07/2020,6.765185616,6.183709306,7.346661927,866.1271458,483.7868479,1550.010491
4,GLMNET,prediction,26/07/2020,6.665980034,6.084503723,7.247456345,784.2326425,438.001892,1403.527666
4,GLMNET,prediction,02/08/2020,6.777925507,6.196449196,7.359401817,877.2449198,490.0024884,1569.896599
4,GLMNET,prediction,09/08/2020,6.869437372,6.287961061,7.450913683,961.4069364,537.0551484,1720.435273
4,GLMNET,prediction,16/08/2020,6.887748726,6.306272415,7.469225037,979.1922504,546.9984264,1752.247457
4,GLMNET,prediction,23/08/2020,6.741722156,6.160245845,7.323198467,846.0181778,472.5444791,1514.04204
4,GLMNET,prediction,30/08/2020,6.748215218,6.166738908,7.329691529,851.5358137,475.6292369,1523.911309
4,GLMNET,prediction,06/09/2020,6.845076673,6.263600362,7.426552984,938.2452927,524.1061129,1679.006571
4,GLMNET,prediction,13/09/2020,6.841222199,6.259745888,7.42269851,934.6319647,522.0860009,1672.543494
4,GLMNET,prediction,20/09/2020,6.761152094,6.179675783,7.342628404,862.6366131,481.8353874,1543.767055
4,GLMNET,prediction,27/09/2020,6.913261799,6.331785488,7.49473811,1004.521708,561.1594272,1797.55368
4,GLMNET,prediction,04/10/2020,6.828138734,6.246662423,7.409615045,922.4703881,515.2867992,1650.79036
4,GLMNET,prediction,11/10/2020,6.729532566,6.148056255,7.311008877,835.7560463,466.8072047,1495.6864
4,GLMNET,prediction,18/10/2020,6.778310817,6.196834507,7.359787128,877.5833822,490.1917134,1570.501999
4,GLMNET,prediction,25/10/2020,6.687272073,6.105795762,7.268748383,801.1311095,447.4493584,1433.753568
4,GLMNET,prediction,01/11/2020,6.506756456,5.925280145,7.088232766,668.6508489,373.3833022,1196.789156
4,GLMNET,prediction,08/11/2020,6.452333958,5.870857647,7.033810268,633.1807178,353.5529311,1133.344544
4,GLMNET,prediction,15/11/2020,6.312759594,5.731283283,6.894235905,550.5649458,307.3647338,985.571602
4,GLMNET,prediction,22/11/2020,6.360887462,5.779411152,6.942363773,577.7597561,322.5686015,1034.214337
4,GLMNET,prediction,29/11/2020,6.286257335,5.704781024,6.867733646,536.1392301,299.2997144,959.7686544
4,GLMNET,prediction,06/12/2020,6.249120224,5.667643913,6.830596535,516.5572898,288.3519922,924.7428856
4,GLMNET,prediction,13/12/2020,6.207288513,5.625812202,6.788764823,495.3535685,276.497577,886.8162744
4,GLMNET,prediction,20/12/2020,6.209156569,5.627680258,6.790632879,496.2816514,277.0164425,888.4763149
4,GLMNET,prediction,27/12/2020,6.154058339,5.572582028,6.735534649,469.6234658,262.1125869,840.7934282
4,GLMNET,prediction,03/01/2021,5.966929106,4.680924789,7.252933424,389.3052426,106.8697833,1411.241481
